"name","genre"
"Lil Uzi Vert","rap"
"Travis Scott","rap"
"Juice WRLD","rap"
"Drake","rap"
"Post Malone","rap"
"Roddy Ricch","rap"
"Kanye West","rap"
"A Boogie Wit da Hoodie","rap"
"Trippie Redd","rap"
"Young Thug","rap"
"Lil Wayne","rap"
"YoungBoy Never Broke Again","rap"
"Lil Baby","rap"
"Gunna","rap"
"Future","rap"
"XXXTENTACION","rap"
"Tory Lanez","rap"
"Chris Brown","rap"
"YNW Melly","rap"
"Mac Miller","rap"
"Tyga","rap"
"Quavo","rap"
"Eminem","rap"
"Lil Tjay","rap"
"Kendrick Lamar","rap"
"Wiz Khalifa","rap"
"J. Cole","rap"
"Lil Mosey","rap"
"NF","rap"
"Cardi B","rap"
"Rod Wave","rap"
"Lil Skies","rap"
"blackbear","rap"
"G-Eazy","rap"
"Mustard","rap"
"Kid Cudi","rap"
"Tyler, The Creator","rap"
"Megan Thee Stallion","rap"
"Chance the Rapper","rap"
"Don Toliver","rap"
"NAV","rap"
"Lil Tecca","rap"
"21 Savage","rap"
"Machine Gun Kelly","rap"
"Logic","rap"
"Kodak Black","rap"
"Pop Smoke","rap"
"Russ","rap"
"Meek Mill","rap"
"Lil Yachty","rap"
"John Prine","folk"
"The Lumineers","folk"
"Van Morrison","folk"
"Simon & Garfunkel","folk"
"Bon Iver","folk"
"Lord Huron","folk"
"Sufjan Stevens","folk"
"Billy Joel","folk"
"Mumford & Sons","folk"
"Bob Dylan","folk"
"The Head and the Heart","folk"
"Vance Joy","folk"
"Jimmy Buffett","folk"
"James Taylor","folk"
"John Denver","folk"
"Eagles","folk"
"Dermot Kennedy","folk"
"Brandi Carlile","folk"
"The Beach Boys","folk"
"Daryl Hall & John Oates","folk"
"Grateful Dead","folk"
"Paul Simon","folk"
"George Ezra","folk"
"Caamp","folk"
"Yusuf / Cat Stevens","folk"
"Joni Mitchell","folk"
"Mt. Joy","folk"
"Steely Dan","folk"
"Phoebe Bridgers","folk"
"Gregory Alan Isakov","folk"
"Anaïs Mitchell","folk"
"Jackson Browne","folk"
"Neil Diamond","folk"
"Passenger","folk"
"Novo Amor","folk"
"Raffi","folk"
"Beck","folk"
"Tom Petty","folk"
"The Band","folk"
"Rainbow Kitten Surprise","folk"
"The Paper Kites","folk"
"Of Monsters and Men","folk"
"Don McLean","folk"
"Kris Kristofferson","folk"
"Alison Krauss","folk"
"Paul McCartney","folk"
"Electric Light Orchestra","folk"
"Tom Petty and the Heartbreakers","folk"
"The Avett Brothers","folk"
"Angus & Julia Stone","folk"
"Luke Combs","country"
"Florida Georgia Line","country"
"Morgan Wallen","country"
"Jason Aldean","country"
"Thomas Rhett","country"
"Kane Brown","country"
"Luke Bryan","country"
"Sam Hunt","country"
"Kenny Chesney","country"
"Dan + Shay","country"
"Blake Shelton","country"
"Eric Church","country"
"George Strait","country"
"Zac Brown Band","country"
"Tim McGraw","country"
"Maren Morris","country"
"Jon Pardi","country"
"Kacey Musgraves","country"
"Chris Stapleton","country"
"Keith Urban","country"
"Upchurch","country"
"Old Dominion","country"
"Lee Brice","country"
"Johnny Cash","country"
"Brooks & Dunn","country"
"Lauren Alaina","country"
"Brett Young","country"
"Carrie Underwood","country"
"Rascal Flatts","country"
"Alan Jackson","country"
"Dustin Lynch","country"
"Miranda Lambert","country"
"Chris Young","country"
"Tyler Childers","country"
"Dierks Bentley","country"
"Brantley Gilbert","country"
"Cody Johnson","country"
"Toby Keith","country"
"Lady Antebellum","country"
"Dolly Parton","country"
"Jake Owen","country"
"Willie Nelson","country"
"Dixie Chicks","country"
"Kelsea Ballerini","country"
"Chase Rice","country"
"Billy Currington","country"
"Jordan Davis","country"
